# Skipped GDS Corrections - Combined from sessions 2025-11-26
# Format: email_id | field | note

# === Session 1 (original 16) ===
30 | client_label | account potentially compromised
126 | client_label | autopays are receipts
157 | importance | trials are time sensitive
165 | importance | support thread implies someone is waiting for a repsonse so time sensitive
186 | importance | receipt of transfer, overdraft is in it's nature time sensitive and could have consequences to user
193 | client_label | statements are receipts?
203 | client_label | billing notificaitons and autopay notifications feel more like receipts to me similar to tracking notifications. i can see users wanting toee these along with shipping
209 | client_label | i consider autopay life cycle emails receipts
288 | client_label | flight info should probably default to this label over everything else
289 | client_label | flight info should default to action-required
291 | client_label | flight info should default to action required
349 | client_label | flight info
350 | importance | debit card activation has an implied time period, consequences to not activating a debit card
352 | importance | expected to take an action within a window of time
357 | client_label | application, not informational window
456 | client_label | it is implied that the user reviews this access for approval

# === Session 2 (new 22) ===
216 | client_label | autopay emails we can organize under receipts
223 | client_label | autopays can be receipts
224 | client_label | autopay receipts
225 | client_label | autopay receipts
226 | client_label | autopay receipts
227 | client_label | autopay receipts
235 | client_label | implied window for card activation
276 | client_label | automated email -- but edge case
295 | email_type | (no note)
319 | importance | interview offers are often time sensitive
320 | importance | interview offers time sensitiive
321 | importance | interview offer
322 | importance | medical claims are typically ts
323 | importance | interview offer ts
325 | importance | interview offer
329 | importance | will timeout
435 | importance | bill increases might warrant user intervention
444 | email_type | (no note)
470 | importance | budget change
476 | importance | budget change
479 | importance | should be time sensitive instead of critical
517 | client_label | autopay receipt
